Job Title,Work Type,Average Normalized Salary,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Research And Development Engineer,Other,75920.0,50%,154,1152,0.1336805555555555,Supply Chain & Logistics
Research Coordinator,Full Time,47291.25,30%,234,1892,0.1236786469344608,Medical & Healthcare
Research Coordinator,Other,70000.0,30%,234,1892,0.1236786469344608,Medical & Healthcare
Research Director,Other,166400.0,30%,223,1841,0.1211298207495926,Supply Chain & Logistics
Research Engineer,Full Time,145336.0,30%,205,1746,0.1174112256586483,Supply Chain & Logistics
Research Engineer,Other,152186.66666666666,30%,205,1746,0.1174112256586483,Supply Chain & Logistics
Research Manager,Full Time,259500.0,25%,994,2806,0.3542409123307198,Medical & Healthcare
Research Nurse,Full Time,105800.0,5%,533,2172,0.2453959484346224,Hospitality
Research Psychologist,Full Time,93607.5,10%,858,3432,0.25,Construction
Research Technician,Full Time,44317.82444444445,45%,188,1803,0.1042706600110926,Medical & Healthcare
Research Technician,Other,53560.0,45%,188,1803,0.1042706600110926,Medical & Healthcare
Researcher,Full Time,211839.66666666666,25%,1028,2939,0.3497788363388908,Supply Chain & Logistics
Researcher,Other,112856.87272727274,25%,1028,2939,0.3497788363388908,Supply Chain & Logistics
Researcher,Part Time,68952.0,25%,1028,2939,0.3497788363388908,Supply Chain & Logistics
Reservation Agent,Full Time,41600.0,40%,476,1597,0.2980588603631809,Leadership & Strategy
Reservationist,Other,60320.0,40%,570,2011,0.2834410740924913,Communication & PR
Reservationist,Part Time,38480.0,40%,570,2011,0.2834410740924913,Communication & PR
Residence Hall Director,Full Time,40112.5,15%,975,3743,0.2604862409831686,Supply Chain & Logistics
Residence Manager,Full Time,105000.0,20%,895,3577,0.25020967291026,Law Enforcement
Resident Engineer,Full Time,135276.0,40%,463,1502,0.3082556591211717,Hospitality
Resident Manager,Part Time,13.0,20%,221,1437,0.1537926235212247,Communication & PR
Residential Property Manager,Full Time,75000.0,15%,1054,4175,0.2524550898203593,Data & IT
Respiratory Care Practitioner,Full Time,85862.0,20%,98,774,0.1266149870801033,Supply Chain & Logistics
Restaurant,Full Time,49998.74081632653,30%,180,1490,0.1208053691275167,Medical & Healthcare
Restaurant,Other,52035.0,30%,180,1490,0.1208053691275167,Medical & Healthcare
Restaurant,Part Time,32635.2,30%,180,1490,0.1208053691275167,Medical & Healthcare
Restaurant General Manager,Full Time,72437.5,40%,392,1308,0.2996941896024465,Administrative & Clerical
Restaurant Host,Full Time,31200.0,50%,36,300,0.12,Construction
Restaurant Server,Full Time,18678.4,40%,226,963,0.2346832814122533,Supply Chain & Logistics
Restaurant Supervisor,Full Time,43680.0,40%,384,1285,0.2988326848249027,Leadership & Strategy
Restaurant Supervisor,Part Time,37440.0,40%,384,1285,0.2988326848249027,Leadership & Strategy
Retail Management,Other,37786.666666666664,10%,997,4246,0.2348092322185586,Medical & Healthcare
Retail Sales,Full Time,51993.64,25%,572,1448,0.3950276243093922,Hospitality
Retail Sales,Other,58240.0,25%,572,1448,0.3950276243093922,Hospitality
Retail Sales,Part Time,36384.4,25%,572,1448,0.3950276243093922,Hospitality
Retail Supervisor,Full Time,45155.0,20%,241,1727,0.1395483497394325,Communication & PR
Retail Supervisor,Part Time,41600.0,20%,241,1727,0.1395483497394325,Communication & PR
Retoucher,Full Time,85000.0,30%,194,1715,0.1131195335276968,Medical & Healthcare
Revenue Cycle Manager,Full Time,86666.66666666667,30%,548,1549,0.3537766300839251,Sales & Marketing
Reviewer,Full Time,61017.92,10%,1217,4948,0.2459579628132578,Administrative & Clerical
Reviewer,Other,109200.0,10%,1217,4948,0.2459579628132578,Administrative & Clerical
Rigger,Full Time,76585.6,10%,176,867,0.2029988465974625,Leadership & Strategy
Risk Management Analyst,Full Time,120000.0,60%,197,1658,0.1188178528347406,Data & IT
Risk Manager,Full Time,149619.91176470587,32%,244,1904,0.1281512605042016,Supply Chain & Logistics
Risk Manager,Other,231400.0,32%,244,1904,0.1281512605042016,Supply Chain & Logistics
Robotics Engineer,Full Time,151666.66666666666,70%,111,804,0.1380597014925373,Medical & Healthcare
Robotics Engineer,Other,142826.66666666666,70%,111,804,0.1380597014925373,Medical & Healthcare
Roofer,Full Time,39520.0,10%,90,318,0.2830188679245283,Law Enforcement
Room Attendant,Full Time,42247.11111111111,40%,258,959,0.2690302398331595,Law Enforcement
Room Attendant,Part Time,42640.0,40%,258,959,0.2690302398331595,Law Enforcement
Room Service Server,Full Time,36608.0,40%,203,842,0.2410926365795724,Construction
Route Sales Representative,Full Time,47030.666666666664,45%,485,1626,0.2982779827798278,Hospitality
Runner,Full Time,41710.5,20%,54,363,0.1487603305785124,Administrative & Clerical
Runner,Other,28953.6,20%,54,363,0.1487603305785124,Administrative & Clerical
Runner,Part Time,41953.6,20%,54,363,0.1487603305785124,Administrative & Clerical
Safety Advisor,Other,97760.0,20%,258,1486,0.1736204576043068,Hospitality
Safety Consultant,Full Time,117500.0,65%,73,765,0.0954248366013071,Law Enforcement
Safety Coordinator,Full Time,78381.66666666667,60%,1,2,0.5,Leadership & Strategy
Safety Coordinator,Other,83200.0,60%,1,2,0.5,Leadership & Strategy
Safety Coordinator,Part Time,49920.0,60%,1,2,0.5,Leadership & Strategy
Safety Engineer,Full Time,92337.71428571429,20%,124,850,0.1458823529411764,Construction
Safety Engineer,Other,83200.0,20%,124,850,0.1458823529411764,Construction
Safety Inspector,Full Time,19771.75,50%,67,523,0.1281070745697896,Hospitality
Safety Officer,Full Time,73399.71666666666,25%,463,1279,0.3620015637216575,Medical & Healthcare
Safety Officer,Other,42993.6,25%,463,1279,0.3620015637216575,Medical & Healthcare
Safety Officer,Part Time,41990.0,25%,463,1279,0.3620015637216575,Medical & Healthcare
Safety Supervisor,Full Time,90000.0,48%,160,1652,0.0968523002421307,Supply Chain & Logistics
Safety Technician,Full Time,60000.0,20%,130,1135,0.1145374449339207,Leadership & Strategy
Safety Technician,Other,33280.0,20%,130,1135,0.1145374449339207,Leadership & Strategy
Sales Account Executive,Full Time,100831.42857142857,55%,117,1018,0.1149312377210216,Law Enforcement
Sales Account Manager,Full Time,99671.95789473684,50%,212,1950,0.1087179487179487,Supply Chain & Logistics
Sales Advisor,Full Time,81437.6,45%,717,2230,0.32152466367713,Data & IT
Sales Advisor,Other,41600.0,45%,717,2230,0.32152466367713,Data & IT
Sales Advisor,Part Time,41860.0,45%,717,2230,0.32152466367713,Data & IT
Sales Agent,Full Time,92158.81999999999,55%,118,1034,0.1141199226305609,Construction
Sales Agent,Other,52000.0,55%,118,1034,0.1141199226305609,Construction
Sales Coordinator,Full Time,54996.95384615385,35%,997,3135,0.3180223285486443,Hospitality
Sales Coordinator,Other,50960.0,35%,997,3135,0.3180223285486443,Hospitality
Sales Development Representative,Full Time,68597.06785714286,55%,165,1417,0.1164431898376852,Sales & Marketing
Sales Development Representative,Other,77040.0,55%,165,1417,0.1164431898376852,Sales & Marketing
Sales Development Representative,Part Time,48090.0,55%,165,1417,0.1164431898376852,Sales & Marketing
Sales Director,Full Time,135892.3495,22%,296,2158,0.1371640407784986,Communication & PR
Sales Director,Other,265000.0,22%,296,2158,0.1371640407784986,Communication & PR
Sales Executive,Full Time,95087.25454545455,50%,207,1933,0.107087428867046,Construction
Sales Executive,Other,81666.66666666667,50%,207,1933,0.107087428867046,Construction
Sales Lead,Full Time,77114.5,15%,1154,4417,0.2612633008829522,Leadership & Strategy
Sales Lead,Part Time,45425.71428571428,15%,1154,4417,0.2612633008829522,Leadership & Strategy
Sales Manager,Full Time,112837.59224806202,23%,293,1997,0.1467200801201802,Hospitality
Sales Manager,Other,82650.0,23%,293,1997,0.1467200801201802,Hospitality
Sales Marketing,Full Time,77362.5,50%,211,2001,0.1054472763618191,Sales & Marketing
Sales Operations Analyst,Full Time,76924.16666666667,65%,157,1053,0.1490978157644824,Sales & Marketing
Sales Operations Analyst,Other,78000.0,65%,157,1053,0.1490978157644824,Sales & Marketing
Sales Operations Manager,Full Time,131812.5,29%,702,1800,0.39,Communication & PR
Sales Professional,Full Time,81554.11764705883,15%,959,4467,0.21468547123349,Leadership & Strategy
Sales Representative,Full Time,837865.3079661017,45%,736,2273,0.3238011438627364,Administrative & Clerical
Sales Representative,Other,76930.0,45%,736,2273,0.3238011438627364,Administrative & Clerical
Sales Representative,Part Time,47840.0,45%,736,2273,0.3238011438627364,Administrative & Clerical
Sales Supervisor,Full Time,50455.6,22%,295,2169,0.136007376671277,Data & IT
Sales Supervisor,Part Time,36400.0,22%,295,2169,0.136007376671277,Data & IT
Sales Trainer,Full Time,47500.0,29%,682,1686,0.4045077105575326,Data & IT
Salesforce Business Analyst,Full Time,98250.0,60%,208,1694,0.1227863046044864,Administrative & Clerical
Salesman,Full Time,150000.0,15%,950,4446,0.2136752136752136,Medical & Healthcare
Salesperson,Full Time,111608.0,15%,1104,4519,0.2443018366895331,Supply Chain & Logistics
Salon Manager,Full Time,39000.0,30%,470,1263,0.3721298495645289,Hospitality
Satellite Engineer,Full Time,123585.5,30%,151,1198,0.1260434056761268,Construction
Scheduler,Full Time,74201.9175,30%,209,1553,0.1345782356728911,Leadership & Strategy
Scheduler,Other,43420.0,30%,209,1553,0.1345782356728911,Leadership & Strategy
Scheduler,Part Time,43368.0,30%,209,1553,0.1345782356728911,Leadership & Strategy
Scheduling Coordinator,Full Time,31200.0,40%,509,1599,0.3183239524702939,Construction
School Director,Full Time,105620.22,15%,724,3011,0.2404516771836599,Construction
School Nurse,Full Time,67860.0,5%,454,2122,0.2139491046182846,Communication & PR
School Nurse,Part Time,58240.0,5%,454,2122,0.2139491046182846,Communication & PR
School Principal,Full Time,135257.5,20%,214,1200,0.1783333333333333,Supply Chain & Logistics
School Psychologist,Full Time,99690.0,10%,644,2506,0.2569832402234637,Communication & PR
School Psychologist,Part Time,75593.875,10%,644,2506,0.2569832402234637,Communication & PR
School Social Worker,Full Time,104000.0,20%,211,1511,0.1396426207809397,Sales & Marketing
Scientist,Full Time,132537.89101123597,25%,315,1068,0.2949438202247191,Sales & Marketing
Scientist,Other,101308.69565217392,25%,315,1068,0.2949438202247191,Sales & Marketing
Scientist,Part Time,129866.66666666667,25%,315,1068,0.2949438202247191,Sales & Marketing
Scout,Full Time,45000.0,30%,100,586,0.1706484641638225,Administrative & Clerical
Screener,Full Time,33280.0,40%,273,949,0.2876712328767123,Administrative & Clerical
Screener,Part Time,33280.0,40%,273,949,0.2876712328767123,Administrative & Clerical
Scrum Master,Full Time,127947.5,5%,757,2929,0.2584499829293274,Hospitality
Scrum Master,Other,130326.56000000001,5%,757,2929,0.2584499829293274,Hospitality
Seamstress,Full Time,43950.40000000001,10%,200,1295,0.1544401544401544,Supply Chain & Logistics
Secretary,Full Time,69737.51666666666,35%,617,2226,0.2771787960467206,Law Enforcement
Security Architect,Full Time,163414.06818181818,50%,167,1603,0.1041796631316282,Medical & Healthcare
Security Architect,Other,190833.33333333334,50%,167,1603,0.1041796631316282,Medical & Healthcare
Security Consultant,Full Time,125606.06666666667,70%,151,986,0.1531440162271805,Sales & Marketing
Security Consultant,Other,187200.0,70%,151,986,0.1531440162271805,Sales & Marketing
Security Director,Full Time,234883.415,30%,119,766,0.1553524804177545,Data & IT
Security Engineer,Full Time,156118.3306122449,37%,631,1968,0.320630081300813,Supply Chain & Logistics
Security Engineer,Other,140544.2857142857,37%,631,1968,0.320630081300813,Supply Chain & Logistics
Security Guard,Full Time,38968.8,25%,245,869,0.2819332566168009,Medical & Healthcare
Security Guard,Other,49920.0,25%,245,869,0.2819332566168009,Medical & Healthcare
Security Guard,Part Time,39260.0,25%,245,869,0.2819332566168009,Medical & Healthcare
Security Manager,Full Time,122405.90909090909,55%,101,833,0.1212484993997599,Law Enforcement
Security Officer,Full Time,69507.55846153846,20%,96,630,0.1523809523809524,Hospitality
Security Officer,Other,74880.0,20%,96,630,0.1523809523809524,Hospitality
Security Officer,Part Time,37247.90588235294,20%,96,630,0.1523809523809524,Hospitality
Security Supervisor,Full Time,80223.33333333333,40%,283,998,0.2835671342685371,Law Enforcement
Security Technician,Full Time,53820.0,60%,117,854,0.1370023419203747,Medical & Healthcare
Security Technician,Other,66560.0,60%,117,854,0.1370023419203747,Medical & Healthcare
Senior Account Executive,Full Time,106330.36363636363,30%,255,2035,0.1253071253071253,Supply Chain & Logistics
Senior Architect,Full Time,112634.0,15%,1136,4834,0.235002068680182,Supply Chain & Logistics
Senior Civil Engineer,Full Time,145524.55555555556,30%,156,1257,0.1241050119331742,Sales & Marketing
Senior Consultant,Full Time,141327.84210526315,45%,207,1897,0.1091196626251976,Medical & Healthcare
Senior Consultant,Other,145600.0,45%,207,1897,0.1091196626251976,Medical & Healthcare
Senior Consultant,Part Time,119500.0,45%,207,1897,0.1091196626251976,Medical & Healthcare
Senior Engineer,Full Time,148941.375,30%,160,1427,0.1121233356692361,Communication & PR
Senior Engineer,Other,166400.0,30%,160,1427,0.1121233356692361,Communication & PR
Senior Planner,Full Time,84554.535,25%,604,1618,0.3733003708281829,Supply Chain & Logistics
Senior Sales Manager,Full Time,87571.33333333333,35%,263,2064,0.127422480620155,Data & IT
Senior Systems Engineer,Full Time,150241.42857142858,60%,129,1344,0.0959821428571428,Hospitality
Senior Systems Engineer,Other,149240.0,60%,129,1344,0.0959821428571428,Hospitality
Senior Vice President,Full Time,245428.57142857142,15%,1065,4113,0.2589350838803793,Communication & PR
Server,Full Time,55166.973333333335,40%,206,666,0.3093093093093093,Medical & Healthcare
Server,Other,34944.0,40%,206,666,0.3093093093093093,Medical & Healthcare
Server,Part Time,31546.666666666668,40%,206,666,0.3093093093093093,Medical & Healthcare
Service Advisor,Full Time,60892.5,45%,192,1798,0.1067853170189099,Supply Chain & Logistics
Service Coordinator,Full Time,53205.86,30%,227,1473,0.1541072640868974,Supply Chain & Logistics
Service Coordinator,Other,49920.0,30%,227,1473,0.1541072640868974,Supply Chain & Logistics
Service Coordinator,Part Time,50044.8,30%,227,1473,0.1541072640868974,Supply Chain & Logistics
Service Desk Technician,Full Time,79962.13333333335,30%,348,2446,0.14227309893704,Hospitality
Service Desk Technician,Other,48186.666666666664,30%,348,2446,0.14227309893704,Hospitality
Service Director,Full Time,167500.0,30%,222,1846,0.1202600216684723,Construction
Service Engineer,Full Time,86524.98823529412,45%,157,1594,0.0984943538268506,Medical & Healthcare
Service Manager,Full Time,81607.83161764705,50%,114,911,0.1251372118551043,Construction
Service Technician,Full Time,63937.36006578948,30%,119,1006,0.1182902584493041,Communication & PR
Service Technician,Other,61360.0,30%,119,1006,0.1182902584493041,Communication & PR
Service Technician,Part Time,31200.0,30%,119,1006,0.1182902584493041,Communication & PR
Sharepoint Consultant,Other,124800.0,40%,734,2255,0.3254988913525499,Communication & PR
Shift Engineer,Full Time,126250.0,25%,339,1086,0.3121546961325966,Leadership & Strategy
Shift Leader,Full Time,50180.0,15%,996,3933,0.2532418001525553,Sales & Marketing
Shift Manager,Full Time,68701.2,35%,233,1888,0.1234110169491525,Hospitality
Shipping,Full Time,55283.775,65%,107,711,0.150492264416315,Supply Chain & Logistics
Shipping,Other,62400.0,65%,107,711,0.150492264416315,Supply Chain & Logistics
Shipping,Part Time,40906.666666666664,65%,107,711,0.150492264416315,Supply Chain & Logistics
Shop Manager,Full Time,58750.0,35%,238,1929,0.1233799896319336,Communication & PR
Shopper,Full Time,38272.0,25%,366,1162,0.3149741824440619,Construction
Shopper,Part Time,1248000.0,25%,366,1162,0.3149741824440619,Construction
Sign Language Interpreter,Full Time,67524.0,25%,288,895,0.3217877094972067,Medical & Healthcare
Sign Language Interpreter,Part Time,52000.0,25%,288,895,0.3217877094972067,Medical & Healthcare
Simulation Engineer,Full Time,138333.33333333334,37%,667,2285,0.2919037199124726,Law Enforcement
Simulation Engineer,Other,202800.0,37%,667,2285,0.2919037199124726,Law Enforcement
Site Engineer,Full Time,72500.0,40%,461,1551,0.2972275950999355,Administrative & Clerical
Slot Technician,Full Time,77500.0,20%,70,900,0.0777777777777777,Hospitality
Social Media Marketing,Full Time,55750.0,55%,259,2183,0.1186440677966101,Sales & Marketing
Social Media Marketing,Other,37440.0,55%,259,2183,0.1186440677966101,Sales & Marketing
Social Media Strategist,Full Time,83187.5,45%,997,3490,0.2856733524355301,Construction
Social Media Strategist,Other,69680.0,45%,997,3490,0.2856733524355301,Construction
Social Service,Full Time,91372.56666666667,10%,916,4142,0.2211492032834379,Law Enforcement
Social Worker,Full Time,78180.38214285715,20%,886,3413,0.2595956636390272,Law Enforcement
Social Worker,Other,82156.66666666667,20%,886,3413,0.2595956636390272,Law Enforcement
Social Worker,Part Time,81131.8857142857,20%,886,3413,0.2595956636390272,Law Enforcement
Software Architect,Full Time,177444.44444444444,20%,258,1530,0.1686274509803921,Sales & Marketing
Software Development Engineer,Full Time,172824.21875,20%,263,1617,0.1626468769325912,Hospitality
Software Development Engineer,Other,121853.33333333333,20%,263,1617,0.1626468769325912,Hospitality
Software Engineer,Full Time,172932.10059193955,60%,133,1342,0.0991058122205663,Communication & PR
Software Engineer,Other,134788.77627118645,60%,133,1342,0.0991058122205663,Communication & PR
Software Product Manager,Full Time,109350.0,70%,181,1472,0.1229619565217391,Administrative & Clerical
Software Quality Assurance,Full Time,87892.85714285714,50%,275,2220,0.1238738738738738,Sales & Marketing
Software Test Engineer,Full Time,125513.5,50%,272,2209,0.1231326392032594,Communication & PR
Software Test Engineer,Other,97240.0,50%,272,2209,0.1231326392032594,Communication & PR
Software Tester,Other,104000.0,50%,272,2209,0.1231326392032594,Data & IT
Solar Engineer,Full Time,90000.0,30%,153,1201,0.1273938384679434,Leadership & Strategy
Solar Sales,Full Time,159900.0,70%,128,1153,0.1110147441457068,Leadership & Strategy
Solar Sales,Other,250000.0,70%,128,1153,0.1110147441457068,Leadership & Strategy
Solar Technician,Full Time,79560.0,10%,194,815,0.2380368098159509,Law Enforcement
Solution Architect,Full Time,164057.1875,50%,205,1543,0.1328580686973428,Supply Chain & Logistics
Solution Architect,Other,133135.0,50%,205,1543,0.1328580686973428,Supply Chain & Logistics
Solutions Architect,Full Time,160664.74410714285,40%,774,2301,0.3363754889178618,Data & IT
Solutions Architect,Other,159760.0,40%,774,2301,0.3363754889178618,Data & IT
Solutions Consultant,Full Time,134407.8,40%,836,2528,0.3306962025316455,Data & IT
Solutions Engineer,Full Time,137130.2,25%,904,2370,0.3814345991561181,Supply Chain & Logistics
Sonographer,Full Time,63403.547826086964,65%,57,412,0.1383495145631068,Administrative & Clerical
Sonographer,Other,78436.0,65%,57,412,0.1383495145631068,Administrative & Clerical
Sonographer,Part Time,111644.86833333333,65%,57,412,0.1383495145631068,Administrative & Clerical
Sourcing Manager,Full Time,124440.0,30%,239,1848,0.1293290043290043,Hospitality
Sourcing Manager,Other,135200.0,30%,239,1848,0.1293290043290043,Hospitality
Sous Chef,Full Time,68849.23333333334,25%,293,966,0.3033126293995859,Sales & Marketing
Spa Attendant,Full Time,44179.2,20%,76,468,0.1623931623931624,Law Enforcement
Spa Attendant,Part Time,41563.600000000006,20%,76,468,0.1623931623931624,Law Enforcement
Space Planner,Full Time,117075.0,60%,162,1553,0.1043142305215711,Data & IT
Special Agent,Full Time,59750.0,85%,45,462,0.0974025974025974,Supply Chain & Logistics
Special Events Coordinator,Other,50960.0,35%,1071,3790,0.2825857519788918,Hospitality
Special Events Manager,Full Time,59500.0,35%,1049,3671,0.2857532007627349,Data & IT
Specialist,Full Time,159152.8338336714,55%,169,1195,0.1414225941422594,Law Enforcement
Specialist,Other,77373.21169421487,55%,169,1195,0.1414225941422594,Law Enforcement
Specialist,Part Time,49648.394477611946,55%,169,1195,0.1414225941422594,Law Enforcement
Sponsor,Full Time,122061.66666666667,10%,863,3787,0.2278848692896752,Medical & Healthcare
Sports,Full Time,100000.0,25%,575,1415,0.4063604240282685,Supply Chain & Logistics
Sports,Other,28800.0,25%,575,1415,0.4063604240282685,Supply Chain & Logistics
Sports,Part Time,45083.99999999999,25%,575,1415,0.4063604240282685,Supply Chain & Logistics
Staff Attorney,Full Time,108384.99,30%,135,1167,0.1156812339331619,Supply Chain & Logistics
Staff Attorney,Other,85700.0,30%,135,1167,0.1156812339331619,Supply Chain & Logistics
Staff Engineer,Full Time,158387.2619047619,15%,1162,4576,0.2539335664335664,Supply Chain & Logistics
Staff Nurse,Full Time,123363.5076923077,35%,236,841,0.2806183115338882,Medical & Healthcare
Staff Nurse,Part Time,165932.65,35%,236,841,0.2806183115338882,Medical & Healthcare
Staff Writer,Full Time,46000.0,20%,357,2162,0.1651248843663274,Medical & Healthcare
Staff Writer,Part Time,49920.0,20%,357,2162,0.1651248843663274,Medical & Healthcare
Staffing Coordinator,Full Time,68513.4,40%,684,2278,0.3002633889376646,Medical & Healthcare
Staffing Manager,Full Time,51750.0,40%,682,2269,0.3005729396209784,Supply Chain & Logistics
Statistical Programmer,Full Time,149166.66666666666,80%,187,1669,0.1120431396045536,Administrative & Clerical
Statistical Programmer,Other,216060.0,80%,187,1669,0.1120431396045536,Administrative & Clerical
Statistician,Full Time,142300.0,50%,165,1537,0.1073519843851659,Construction
Sterile Processing Technician,Full Time,53342.6,40%,274,1052,0.2604562737642585,Data & IT
Sterile Processing Technician,Part Time,42125.0,40%,274,1052,0.2604562737642585,Data & IT
Steward,Full Time,66067.46666666666,10%,374,1839,0.2033713974986405,Medical & Healthcare
Steward,Other,65000.0,10%,374,1839,0.2033713974986405,Medical & Healthcare
Stocker,Full Time,43940.0,25%,285,1041,0.2737752161383285,Supply Chain & Logistics
Storage Engineer,Full Time,129017.5,40%,403,1672,0.2410287081339713,Leadership & Strategy
Storage Engineer,Other,107680.0,40%,403,1672,0.2410287081339713,Leadership & Strategy
Store Director,Full Time,77280.0,10%,915,3852,0.2375389408099688,Sales & Marketing
Store Shopper,Full Time,36400.0,50%,64,529,0.1209829867674858,Data & IT
Store Shopper,Part Time,40430.0,50%,64,529,0.1209829867674858,Data & IT
Store Supervisor,Full Time,54392.0,20%,221,1317,0.1678056188306757,Supply Chain & Logistics
Strategic Planning Manager,Full Time,168750.0,35%,262,2038,0.1285574092247301,Data & IT
Strategic Sourcing Manager,Full Time,105198.75,45%,669,2165,0.3090069284064665,Sales & Marketing
Strategic Sourcing Manager,Other,95076.8,45%,669,2165,0.3090069284064665,Sales & Marketing
Strategist,Full Time,116181.22727272728,35%,926,3429,0.2700495771361913,Law Enforcement
Strategist,Other,109581.33636363636,35%,926,3429,0.2700495771361913,Law Enforcement
Strategist,Part Time,100624.5,35%,926,3429,0.2700495771361913,Law Enforcement
Strategy Consultant,Full Time,197345.0,45%,207,1907,0.1085474567383324,Supply Chain & Logistics
Strategy Manager,Full Time,156262.7857142857,35%,262,1999,0.1310655327663832,Administrative & Clerical
Stress Engineer,Full Time,128400.0,30%,145,1219,0.1189499589827727,Medical & Healthcare
Stress Engineer,Other,184080.0,30%,145,1219,0.1189499589827727,Medical & Healthcare
Structural Designer,Full Time,55000.0,65%,130,965,0.1347150259067357,Law Enforcement
Structural Designer,Other,124800.0,65%,130,965,0.1347150259067357,Law Enforcement
Structural Engineer,Full Time,111605.67857142857,30%,146,1228,0.1188925081433224,Law Enforcement
Structural Engineer,Other,99022.85714285714,30%,146,1228,0.1188925081433224,Law Enforcement
Structural Welder,Full Time,47840.0,20%,67,879,0.0762229806598407,Data & IT
Student Nurse,Full Time,45572.8,21%,81,378,0.2142857142857142,Hospitality
Student Nurse,Other,37751292.8,21%,81,378,0.2142857142857142,Hospitality
Student Worker,Other,40055.600000000006,5%,693,2739,0.253012048192771,Construction
Studio Manager,Full Time,70106.66666666667,20%,362,2587,0.1399304213374565,Supply Chain & Logistics
Stylist,Full Time,54750.0,5%,513,2440,0.2102459016393442,Leadership & Strategy
Stylist,Part Time,37512.8,5%,513,2440,0.2102459016393442,Leadership & Strategy
Subject Matter Expert,Full Time,103466.66666666667,10%,1085,4129,0.262775490433519,Law Enforcement
Subject Matter Expert,Other,135200.0,10%,1085,4129,0.262775490433519,Law Enforcement
Substance Abuse Counselor,Full Time,60320.0,25%,374,1046,0.3575525812619503,Administrative & Clerical
Substance Abuse Counselor,Other,57500.0,25%,374,1046,0.3575525812619503,Administrative & Clerical
Substation Electrician,Full Time,64480.0,20%,69,819,0.0842490842490842,Administrative & Clerical
Superintendent,Full Time,118203.77840909091,25%,333,1035,0.3217391304347826,Law Enforcement
Superintendent,Other,78750.0,25%,333,1035,0.3217391304347826,Law Enforcement
Supervisor,Full Time,78768.4405019305,15%,1202,4507,0.2666962502773463,Hospitality
Supervisor,Other,67530.92857142857,15%,1202,4507,0.2666962502773463,Hospitality
Supervisor,Part Time,56569.38181818181,15%,1202,4507,0.2666962502773463,Hospitality
Supplier Quality Engineer,Full Time,103828.88888888889,40%,417,1691,0.2465996451803666,Medical & Healthcare
Supply Chain,Full Time,125359.43333333333,30%,233,1819,0.1280923584387026,Communication & PR
Supply Chain,Other,72800.0,30%,233,1819,0.1280923584387026,Communication & PR
Supply Chain Coordinator,Full Time,55000.0,60%,157,1200,0.1308333333333333,Communication & PR
Supply Chain Coordinator,Other,117520.0,60%,157,1200,0.1308333333333333,Communication & PR
Supply Chain Planner,Full Time,81250.0,40%,670,2481,0.2700523982265215,Medical & Healthcare
Supply Chain Planner,Other,78967.2,40%,670,2481,0.2700523982265215,Medical & Healthcare
Supply Manager,Full Time,105000.0,25%,643,1800,0.3572222222222222,Hospitality
Supply Planner,Full Time,109466.66666666667,35%,745,2408,0.3093853820598006,Supply Chain & Logistics
Supply Technician,Full Time,42931.2,75%,121,979,0.1235955056179775,Leadership & Strategy
Support Coordinator,Full Time,55609.525,30%,294,2160,0.1361111111111111,Supply Chain & Logistics
Support Coordinator,Other,35360.0,30%,294,2160,0.1361111111111111,Supply Chain & Logistics
Support Engineer,Full Time,109819.94594594595,40%,442,1778,0.24859392575928,Supply Chain & Logistics
Support Engineer,Other,68653.75,40%,442,1778,0.24859392575928,Supply Chain & Logistics
Support Manager,Full Time,101716.59090909091,20%,1186,4632,0.2560449050086356,Construction
Support Technician,Full Time,56510.21875,38%,1122,3609,0.3108894430590191,Data & IT
Support Technician,Other,118654.28571428571,38%,1122,3609,0.3108894430590191,Data & IT
Support Technician,Part Time,38250.0,38%,1122,3609,0.3108894430590191,Data & IT
Surgeon,Full Time,367582.6666666667,12%,415,1711,0.2425482174167153,Communication & PR
Surgery Scheduler,Full Time,71840.0,60%,81,815,0.0993865030674846,Leadership & Strategy
Surgery Scheduler,Other,55120.0,60%,81,815,0.0993865030674846,Leadership & Strategy
Surgical Coordinator,Full Time,41069.59999999999,30%,120,774,0.1550387596899224,Data & IT
Surgical Nurse,Full Time,111500.0,5%,379,1636,0.2316625916870415,Data & IT
Surgical Nurse,Other,138840.0,5%,379,1636,0.2316625916870415,Data & IT
Surgical Technician,Full Time,91459.68,40%,265,887,0.2987598647125141,Administrative & Clerical
Surgical Technician,Other,76960.0,40%,265,887,0.2987598647125141,Administrative & Clerical
Surgical Technician,Part Time,60912.8,40%,265,887,0.2987598647125141,Administrative & Clerical
Surgical Technologist,Full Time,57293.67272727273,40%,266,910,0.2923076923076923,Leadership & Strategy
Surgical Technologist,Other,51902.666666666664,40%,266,910,0.2923076923076923,Leadership & Strategy
Surgical Technologist,Part Time,75849.28,40%,266,910,0.2923076923076923,Leadership & Strategy
Surveillance Investigator,Full Time,50180.0,50%,82,673,0.1218424962852897,Data & IT
Survey Technician,Full Time,87360.0,60%,101,809,0.1248454882571075,Sales & Marketing
Survey Technician,Other,43680.0,60%,101,809,0.1248454882571075,Sales & Marketing
Surveyor,Full Time,100360.15384615384,50%,80,680,0.1176470588235294,Supply Chain & Logistics
Sustainability Manager,Full Time,112483.33333333333,20%,222,1648,0.1347087378640776,Construction
